id,subject,subject_type,schooling_type,faculty_type,credit,year
9241,哲学特殊,文学部専門教育科目,秋期メディア授業,第1類,2,2021
7721,経済学史,経済学部専門教育科目,秋期メディア授業,,2,2021
7720,経済原論,経済学部専門教育科目,秋期メディア授業,,2,2021
9232,刑法,経済学部専門教育科目,秋期メディア授業,,2,2021
9236,日本政治論,経済学部専門教育科目,秋期メディア授業,,2,2021
9213,社会学特殊（岡原）,経済学部専門教育科目,秋期メディア授業,,2,2021
9215,図書館・情報学,経済学部専門教育科目,秋期メディア授業,,2,2021
9246,国際法,経済学部専門教育科目,秋期メディア授業,,2,2021
9242,政治思想論,経済学部専門教育科目,秋期メディア授業,,2,2021
7726,刑法,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
7731,日本政治論,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
7732,国際法,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
7733,政治思想論,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
9224,経済原論,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
9223,経済学史,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
9214,社会学特殊（岡原）,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
9216,図書館・情報学,法学部専門教育科目,秋期メディア授業,甲類・乙類,2,2021
7704,放送英語（リーディング）21,総合教育科目,放送授業,外国語科目/英語,1,2021
7705,放送英語（ライティング）21,総合教育科目,放送授業,外国語科目/英語,1,2021
7706,放送ドイツ語（初級前期）21,総合教育科目,放送授業,外国語科目/ドイツ語,1,2021
7707,放送ドイツ語（初級後期）21,総合教育科目,放送授業,外国語科目/ドイツ語,1,2021
7708,放送フランス語（初級前期）21,総合教育科目,放送授業,外国語科目/フランス語,1,2021
7709,放送フランス語（初級後期）21,総合教育科目,放送授業,外国語科目/フランス語,1,2021
